@relation BlackBoxAuditing
@attribute checking_status {0<=X<200,<0,>=200,"no checking"}
@attribute duration numeric
@attribute credit_history {"all paid","existing paid","critical/other existing credit","no credits/all paid","delayed previously"}
@attribute purpose {repairs,other,radio/tv,business,furniture/equipment,retraining,education,"new car","domestic appliance","used car"}
@attribute credit_amount numeric
@attribute savings_status {500<=X<1000,<100,"no known savings",>=1000,100<=X<500}
@attribute employment {unemployed,4<=X<7,1<=X<4,<1,>=7}
@attribute installment_commitment numeric
@attribute personal_status {"male mar/wid","female div/dep/mar","male single","male div/sep"}
@attribute other_parties {guarantor,"co applicant",none}
@attribute residence numeric
@attribute property_magnitude {"no known property","life insurance",car,"real estate"}
@attribute age_cat {young,old}
@attribute other_payment_plans {bank,stores,none}
@attribute housing {"for free",own,rent}
@attribute existing_credits numeric
@attribute job {"high qualif/self emp/mgmt",skilled,"unemp/unskilled non res","unskilled resident"}
@attribute num_dependents numeric
@attribute own_telephone {yes,none}
@attribute foreign_worker {no,yes}
@attribute class {bad,good}

@data
<0,21,"critical/other existing credit","new car",1602,<100,>=7,4,"male mar/wid",none,3,car,old,none,own,2,skilled,1,yes,yes,good
"no checking",18,"no credits/all paid",business,4165,<100,1<=X<4,2,"male single",none,2,car,old,stores,own,2,skilled,2,none,yes,bad
<0,36,"existing paid","used car",8335,"no known savings",>=7,3,"male single",none,4,"no known property",old,none,"for free",1,skilled,1,none,yes,bad
0<=X<200,48,"delayed previously",business,6681,"no known savings",1<=X<4,4,"male single",none,4,"no known property",old,none,"for free",1,skilled,2,yes,yes,good
"no checking",24,"delayed previously",business,2375,500<=X<1000,1<=X<4,4,"male single",none,2,car,old,none,own,2,skilled,2,yes,yes,good
<0,18,"existing paid","new car",1216,<100,<1,4,"female div/dep/mar",none,3,car,young,none,rent,1,skilled,1,yes,yes,bad
>=200,15,"existing paid",radio/tv,2327,<100,<1,2,"female div/dep/mar",none,3,"real estate",young,none,own,1,"unskilled resident",1,none,yes,bad
<0,12,"no credits/all paid","new car",1082,<100,1<=X<4,4,"male single",none,4,car,old,bank,own,2,skilled,1,none,yes,bad
"no checking",12,"existing paid",radio/tv,886,"no known savings",1<=X<4,4,"female div/dep/mar",none,2,car,young,none,own,1,skilled,1,none,yes,good
"no checking",4,"existing paid",furniture/equipment,601,<100,<1,1,"female div/dep/mar",none,3,"real estate",young,none,rent,1,"unskilled resident",2,none,yes,good
<0,24,"critical/other existing credit","used car",2957,<100,>=7,4,"male single",none,4,"life insurance",old,none,own,2,skilled,1,yes,yes,good
"no checking",24,"critical/other existing credit",radio/tv,2611,<100,>=7,4,"male mar/wid","co applicant",3,"real estate",old,none,own,2,skilled,1,none,yes,good
<0,36,"existing paid",furniture/equipment,5179,<100,4<=X<7,4,"male single",none,2,"life insurance",old,none,own,1,skilled,1,none,yes,bad
"no checking",24,"all paid",business,1559,<100,4<=X<7,4,"male single",none,4,car,old,bank,own,1,skilled,1,yes,yes,good
"no checking",18,"existing paid",furniture/equipment,3422,<100,>=7,4,"male single",none,4,"life insurance",old,bank,own,3,skilled,2,yes,yes,good
0<=X<200,21,"existing paid",furniture/equipment,3976,"no known savings",4<=X<7,2,"male single",none,3,car,old,none,own,1,skilled,1,yes,yes,good
"no checking",24,"existing paid","new car",1249,<100,<1,4,"male mar/wid",none,2,"real estate",old,none,own,1,skilled,1,none,yes,good
<0,9,"existing paid",radio/tv,1364,<100,4<=X<7,3,"male single",none,4,"real estate",old,none,own,1,skilled,1,none,yes,good
<0,20,"critical/other existing credit","new car",2235,<100,1<=X<4,4,"male mar/wid",guarantor,2,"life insurance",old,bank,rent,2,skilled,1,none,no,bad
"no checking",24,"critical/other existing credit","used car",4042,"no known savings",4<=X<7,3,"male single",none,4,"life insurance",old,none,own,2,skilled,1,yes,yes,good
"no checking",15,"critical/other existing credit",radio/tv,1471,<100,1<=X<4,4,"male single",none,4,"no known property",old,none,"for free",2,skilled,1,yes,yes,good
"no checking",36,"delayed previously","new car",10875,<100,>=7,2,"male single",none,2,car,old,none,own,2,skilled,2,yes,yes,good
"no checking",24,"existing paid","new car",1474,100<=X<500,<1,4,"male mar/wid",none,3,"real estate",old,none,own,1,skilled,1,yes,yes,good
"no checking",10,"existing paid",retraining,894,"no known savings",4<=X<7,4,"female div/dep/mar",none,3,"life insurance",old,none,own,1,skilled,1,yes,yes,good
<0,15,"existing paid","new car",3959,<100,1<=X<4,3,"female div/dep/mar",none,2,"life insurance",old,none,own,1,skilled,1,yes,yes,bad
"no checking",9,"existing paid","new car",3577,100<=X<500,1<=X<4,1,"male single",guarantor,2,"real estate",old,none,rent,1,skilled,2,none,no,good
"no checking",24,"critical/other existing credit","used car",5804,>=1000,1<=X<4,4,"male single",none,2,"real estate",old,none,own,2,skilled,1,none,yes,good
"no checking",18,"delayed previously",business,2169,<100,1<=X<4,4,"male mar/wid",none,2,car,old,none,own,1,skilled,1,yes,yes,bad
<0,24,"existing paid",radio/tv,2439,<100,<1,4,"female div/dep/mar",none,4,"real estate",old,none,own,1,skilled,1,yes,yes,bad
"no checking",27,"critical/other existing credit",furniture/equipment,4526,>=1000,<1,4,"male single",none,2,"real estate",old,stores,own,2,"unskilled resident",2,yes,yes,good
"no checking",10,"existing paid",furniture/equipment,2210,<100,1<=X<4,2,"male single",none,2,"real estate",young,bank,rent,1,"unskilled resident",1,none,yes,bad
"no checking",15,"existing paid",furniture/equipment,2221,500<=X<1000,1<=X<4,2,"female div/dep/mar",none,4,car,young,none,rent,1,skilled,1,none,yes,good
<0,18,"existing paid",radio/tv,2389,<100,<1,4,"female div/dep/mar",none,1,car,old,stores,own,1,skilled,1,none,yes,good
"no checking",12,"critical/other existing credit",furniture/equipment,3331,<100,>=7,2,"male single",none,4,"life insurance",old,stores,own,1,skilled,1,none,yes,good
"no checking",36,"existing paid",business,7409,"no known savings",>=7,3,"male single",none,2,"life insurance",old,none,own,2,skilled,1,none,yes,good
<0,12,"existing paid",furniture/equipment,652,<100,>=7,4,"female div/dep/mar",none,4,"life insurance",young,none,rent,1,skilled,1,none,yes,good
"no checking",36,"delayed previously",furniture/equipment,7678,500<=X<1000,4<=X<7,2,"female div/dep/mar",none,4,car,old,none,own,2,skilled,1,yes,yes,good
>=200,6,"critical/other existing credit","new car",1343,<100,>=7,1,"male single",none,4,"real estate",old,none,own,2,skilled,2,none,no,good
"no checking",15,"existing paid","domestic appliance",874,"no known savings",<1,4,"female div/dep/mar",none,1,"real estate",young,none,own,1,skilled,1,none,yes,good
0<=X<200,11,"critical/other existing credit","new car",1322,>=1000,1<=X<4,4,"female div/dep/mar",none,4,car,old,none,own,2,skilled,1,none,yes,good
<0,18,"all paid",radio/tv,1940,<100,<1,3,"male single","co applicant",4,"no known property",old,bank,"for free",1,"high qualif/self emp/mgmt",1,yes,yes,good
<0,9,"existing paid","new car",1422,<100,<1,3,"male single",none,2,"no known property",old,none,"for free",1,"high qualif/self emp/mgmt",1,yes,yes,bad
"no checking",30,"critical/other existing credit",radio/tv,6742,"no known savings",4<=X<7,2,"male single",none,3,"life insurance",old,none,own,2,skilled,1,none,yes,good
"no checking",24,"existing paid","used car",7814,<100,4<=X<7,3,"male single",none,3,car,old,none,own,1,"high qualif/self emp/mgmt",1,yes,yes,good
"no checking",24,"existing paid","used car",9277,"no known savings",1<=X<4,2,"male div/sep",none,4,"no known property",old,none,"for free",1,skilled,1,yes,yes,good
"no checking",18,"critical/other existing credit",radio/tv,1098,<100,unemployed,4,"female div/dep/mar",none,4,car,old,none,own,2,"unemp/unskilled non res",1,none,yes,good
0<=X<200,24,"existing paid",furniture/equipment,4057,<100,4<=X<7,3,"male div/sep",none,3,car,old,none,own,1,skilled,1,yes,yes,bad
0<=X<200,48,"existing paid",business,15672,<100,1<=X<4,2,"male single",none,2,car,young,none,own,1,skilled,1,yes,yes,bad
"no checking",15,"critical/other existing credit",radio/tv,1829,<100,>=7,4,"male single",none,4,car,old,none,own,2,skilled,1,yes,yes,good
<0,12,"critical/other existing credit","new car",2171,<100,1<=X<4,4,"male single",none,4,"life insurance",old,bank,own,2,"unskilled resident",1,none,no,good
0<=X<200,36,"critical/other existing credit","used car",5800,<100,1<=X<4,3,"male single",none,4,car,old,none,own,2,skilled,1,yes,yes,good
"no checking",36,"delayed previously","used car",8947,"no known savings",4<=X<7,3,"male single",none,2,car,old,stores,own,1,"high qualif/self emp/mgmt",2,yes,yes,good
<0,21,"existing paid",radio/tv,2606,<100,<1,4,"female div/dep/mar",none,4,"life insurance",old,none,rent,1,"high qualif/self emp/mgmt",1,yes,yes,good
"no checking",15,"existing paid",furniture/equipment,2186,"no known savings",4<=X<7,1,"female div/dep/mar",none,4,"real estate",old,bank,rent,1,"unskilled resident",1,none,yes,good
<0,18,"existing paid",furniture/equipment,4153,<100,1<=X<4,2,"male single","co applicant",3,car,old,none,own,1,skilled,1,none,yes,bad
"no checking",15,"existing paid",radio/tv,1386,"no known savings",1<=X<4,4,"male mar/wid",none,2,"real estate",old,none,rent,1,skilled,1,yes,yes,good
<0,12,"existing paid",radio/tv,1107,<100,1<=X<4,2,"male single",none,2,"real estate",young,none,rent,1,"high qualif/self emp/mgmt",2,yes,yes,good
0<=X<200,36,"existing paid",education,3711,"no known savings",1<=X<4,2,"male mar/wid",none,2,car,old,none,own,1,skilled,1,none,yes,good
"no checking",15,"delayed previously","used car",3594,<100,<1,1,"female div/dep/mar",none,2,"life insurance",old,none,own,2,"unskilled resident",1,none,yes,good
0<=X<200,9,"existing paid","new car",3195,"no known savings",1<=X<4,1,"female div/dep/mar",none,2,"real estate",old,none,own,1,"unskilled resident",1,none,yes,good
"no checking",36,"delayed previously",radio/tv,4454,<100,1<=X<4,4,"female div/dep/mar",none,4,"real estate",old,none,own,2,skilled,1,none,yes,good
0<=X<200,30,"existing paid",radio/tv,2991,"no known savings",>=7,2,"female div/dep/mar",none,4,car,young,none,own,1,skilled,1,none,yes,good
"no checking",11,"existing paid",business,2142,>=1000,>=7,1,"male div/sep",none,2,"real estate",old,none,own,1,skilled,1,yes,yes,good
<0,24,"all paid",business,3161,<100,1<=X<4,4,"male single",none,2,"life insurance",old,none,rent,1,skilled,1,yes,yes,bad
"no checking",10,"existing paid","used car",2848,100<=X<500,1<=X<4,1,"male single","co applicant",2,"real estate",old,none,own,1,skilled,2,none,yes,good
<0,24,"existing paid",furniture/equipment,3345,<100,>=7,4,"male single",none,2,"life insurance",old,none,rent,1,"high qualif/self emp/mgmt",1,yes,yes,bad
<0,9,"existing paid",radio/tv,1366,<100,<1,3,"female div/dep/mar",none,4,"life insurance",young,none,rent,1,skilled,1,none,yes,bad
<0,24,"all paid",furniture/equipment,6872,<100,<1,2,"male div/sep",none,1,"life insurance",old,bank,own,1,skilled,1,yes,yes,bad
<0,18,"critical/other existing credit",furniture/equipment,1049,<100,<1,4,"female div/dep/mar",none,4,"life insurance",young,none,rent,1,skilled,1,none,yes,good
<0,12,"delayed previously","new car",1344,<100,1<=X<4,4,"male single",none,2,"real estate",old,none,own,2,"unskilled resident",2,none,yes,good
<0,24,"existing paid",furniture/equipment,1747,<100,<1,4,"male single","co applicant",1,"life insurance",young,none,own,1,"unskilled resident",1,none,no,good
0<=X<200,9,"existing paid",radio/tv,1670,<100,<1,4,"female div/dep/mar",none,2,car,young,none,own,1,skilled,1,yes,yes,bad
"no checking",9,"critical/other existing credit","new car",1224,<100,1<=X<4,3,"male single",none,1,"real estate",old,none,own,2,skilled,1,none,yes,good
<0,12,"existing paid",radio/tv,1498,<100,1<=X<4,4,"female div/dep/mar",none,1,car,young,bank,own,1,skilled,1,none,yes,good
0<=X<200,30,"delayed previously",radio/tv,1919,100<=X<500,<1,4,"male single",none,3,"no known property",old,stores,own,2,"high qualif/self emp/mgmt",1,none,yes,bad
>=200,9,"existing paid",radio/tv,745,<100,1<=X<4,3,"female div/dep/mar",none,2,"real estate",old,none,own,1,"unskilled resident",1,none,yes,bad
0<=X<200,60,"existing paid",education,6288,<100,1<=X<4,4,"male single",none,4,"no known property",old,none,"for free",1,skilled,1,none,yes,bad
"no checking",24,"critical/other existing credit","used car",6842,"no known savings",1<=X<4,2,"male single",none,4,"life insurance",old,none,own,2,"high qualif/self emp/mgmt",2,yes,yes,good
"no checking",12,"existing paid","new car",3527,"no known savings",<1,2,"male single",none,3,"life insurance",old,none,own,1,"high qualif/self emp/mgmt",2,yes,yes,good
"no checking",10,"existing paid","new car",1546,<100,1<=X<4,3,"male single",none,2,"real estate",old,none,own,1,"unskilled resident",2,none,no,good
"no checking",24,"existing paid",furniture/equipment,929,"no known savings",4<=X<7,4,"male single",none,2,car,old,stores,own,1,skilled,1,yes,yes,good
"no checking",4,"critical/other existing credit","new car",1455,<100,4<=X<7,2,"male single",none,1,"real estate",old,none,own,3,"unskilled resident",2,none,yes,good
<0,15,"existing paid",furniture/equipment,1845,<100,<1,4,"female div/dep/mar",guarantor,1,"life insurance",old,none,rent,1,skilled,1,none,yes,good
<0,24,"all paid",furniture/equipment,3349,500<=X<1000,<1,4,"male single",none,4,"no known property",old,none,"for free",1,skilled,2,yes,yes,bad
"no checking",12,"existing paid","new car",2859,"no known savings",unemployed,4,"male single",none,4,"no known property",old,none,own,1,"high qualif/self emp/mgmt",1,yes,yes,good
"no checking",18,"existing paid",furniture/equipment,1533,<100,<1,4,"male mar/wid","co applicant",1,"life insurance",old,none,own,1,"unskilled resident",2,none,yes,bad
0<=X<200,18,"critical/other existing credit",business,3590,<100,unemployed,3,"male mar/wid",none,3,car,old,none,own,3,"unemp/unskilled non res",2,yes,yes,good
0<=X<200,24,"existing paid","used car",4113,500<=X<1000,<1,3,"female div/dep/mar",none,4,car,old,none,rent,1,skilled,1,none,yes,bad
"no checking",36,"existing paid",furniture/equipment,10974,<100,unemployed,4,"female div/dep/mar",none,2,car,old,none,own,2,"high qualif/self emp/mgmt",1,yes,yes,bad
<0,24,"critical/other existing credit",radio/tv,1231,>=1000,>=7,4,"female div/dep/mar",none,4,"life insurance",old,none,rent,2,"high qualif/self emp/mgmt",1,yes,yes,good
0<=X<200,9,"critical/other existing credit",radio/tv,1154,<100,>=7,2,"male single",none,4,"real estate",old,none,own,3,"unskilled resident",1,none,yes,good
<0,28,"existing paid","new car",4006,<100,1<=X<4,3,"male single",none,2,car,old,none,own,1,"unskilled resident",1,none,yes,bad
0<=X<200,24,"existing paid",furniture/equipment,3069,100<=X<500,>=7,4,"male single",none,4,"no known property",old,none,"for free",1,skilled,1,none,yes,good
"no checking",6,"critical/other existing credit",radio/tv,1740,<100,>=7,2,"male mar/wid",none,2,"real estate",old,none,rent,2,skilled,1,none,yes,good
0<=X<200,21,"delayed previously","new car",2353,<100,1<=X<4,1,"male div/sep",none,4,"life insurance",old,none,own,2,skilled,1,none,yes,good
"no checking",24,"existing paid",radio/tv,2397,500<=X<1000,>=7,3,"male single",none,2,car,old,bank,own,2,skilled,1,yes,yes,bad
0<=X<200,6,"existing paid",repairs,454,<100,<1,3,"male mar/wid",none,1,"life insurance",young,none,own,1,"unskilled resident",1,none,yes,good
0<=X<200,30,"existing paid",radio/tv,1715,"no known savings",1<=X<4,4,"female div/dep/mar",none,1,car,old,none,own,1,skilled,1,none,yes,good
"no checking",15,"existing paid",radio/tv,3568,<100,>=7,4,"female div/dep/mar",none,2,car,old,bank,rent,1,"high qualif/self emp/mgmt",1,yes,yes,good
"no checking",42,"existing paid",radio/tv,7166,"no known savings",4<=X<7,2,"male mar/wid",none,4,"life insurance",old,none,rent,1,skilled,1,yes,yes,good
0<=X<200,15,"existing paid",repairs,1514,100<=X<500,1<=X<4,4,"male single",guarantor,2,"real estate",young,none,own,1,skilled,1,none,yes,good
"no checking",24,"existing paid","new car",7393,<100,1<=X<4,1,"male single",none,4,"life insurance",old,none,own,1,"unskilled resident",2,none,yes,good
<0,24,"all paid","new car",1193,<100,unemployed,1,"female div/dep/mar","co applicant",4,"no known property",old,none,rent,2,"unemp/unskilled non res",1,none,yes,bad
<0,60,"existing paid",business,7297,<100,>=7,4,"male single","co applicant",4,"no known property",old,none,rent,1,skilled,1,none,yes,bad
>=200,24,"existing paid",radio/tv,1258,500<=X<1000,1<=X<4,3,"female div/dep/mar",none,3,car,old,none,own,1,"unskilled resident",1,none,yes,good
0<=X<200,18,"delayed previously",business,2427,"no known savings",>=7,4,"male single",none,2,"life insurance",old,none,own,2,skilled,1,none,yes,good
0<=X<200,15,"all paid","new car",1264,100<=X<500,1<=X<4,2,"male mar/wid",none,2,"life insurance",young,none,rent,1,skilled,1,none,yes,bad
0<=X<200,30,"critical/other existing credit",furniture/equipment,8386,<100,4<=X<7,2,"male single",none,2,"life insurance",old,none,own,1,skilled,1,none,yes,bad
"no checking",48,"existing paid",business,4844,<100,unemployed,3,"male single",none,2,car,old,bank,rent,1,"high qualif/self emp/mgmt",1,yes,yes,bad
>=200,21,"existing paid","new car",2923,100<=X<500,1<=X<4,1,"female div/dep/mar",none,1,car,old,bank,own,1,"high qualif/self emp/mgmt",1,yes,yes,good
<0,36,"existing paid","used car",8229,<100,1<=X<4,2,"male single",none,2,"life insurance",old,none,own,1,skilled,2,none,yes,bad
>=200,42,"no credits/all paid",business,6289,<100,<1,2,"male div/sep",none,1,"life insurance",old,none,own,2,skilled,1,none,yes,good
"no checking",13,"existing paid",radio/tv,1409,100<=X<500,unemployed,2,"female div/dep/mar",none,4,"real estate",old,none,own,1,skilled,1,none,yes,good
<0,24,"existing paid","used car",6579,<100,unemployed,4,"male single",none,2,"no known property",old,none,"for free",1,"high qualif/self emp/mgmt",1,yes,yes,good
0<=X<200,24,"critical/other existing credit",radio/tv,1743,<100,>=7,4,"male single",none,2,"life insurance",old,none,own,2,"unskilled resident",1,none,yes,good
"no checking",12,"critical/other existing credit",education,3565,"no known savings",<1,2,"male single",none,1,"life insurance",old,none,own,2,"unskilled resident",2,none,yes,good
<0,18,"existing paid",radio/tv,1936,"no known savings",4<=X<7,2,"male mar/wid",none,4,car,young,none,rent,2,"unskilled resident",1,none,yes,good
<0,36,"existing paid",furniture/equipment,3959,<100,unemployed,4,"male single",none,3,"life insurance",old,none,own,1,"high qualif/self emp/mgmt",1,yes,yes,good
"no checking",12,"existing paid","new car",2390,"no known savings",>=7,4,"male single",none,3,car,old,none,own,1,skilled,1,yes,yes,good
"no checking",12,"existing paid",furniture/equipment,1736,<100,4<=X<7,3,"female div/dep/mar",none,4,"real estate",old,none,own,1,"unskilled resident",1,none,yes,good
<0,30,"existing paid","used car",3857,<100,1<=X<4,4,"male div/sep",none,4,"life insurance",old,none,own,1,"high qualif/self emp/mgmt",1,yes,yes,good
"no checking",12,"existing paid",radio/tv,804,<100,>=7,4,"male single",none,4,car,old,none,own,1,skilled,1,none,yes,good
<0,45,"existing paid",radio/tv,1845,<100,1<=X<4,4,"male single",none,4,"no known property",young,none,"for free",1,skilled,1,yes,yes,bad
